X,Y,OBJECTID,REF_ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,OWNER,OPERNAME,RMP_ID,EPA_ID,POSREL,CAPACITY,US_RANK,CRUDE,VACDIST,COKING,THERMALOP,CATCRACK,CATREFORM,CATHYDCRCK,CATHYDTRT,ALKY,POLDIM,AROMATIC,ISOMER,LUBES,OXYGENATES,HYDRGN,COKE,SULFUR,ASPHALT
-98.46019,29.34757,4,REF480005,SAN ANTONIO,7811 S PRESA STREET,SAN ANTONIO,TX,78223,3547,(210) 918-7414,SMALL LUBRICANTS REFINERY,IN SERVICE,50,BEXAR,48029,USA,29.34757,-98.46019,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO,50434,1E+11,WITHIN 166 FEET,20000,117,20000,0,0,0,0,5600,0,14000,0,0,0,0,0,0,0,0,0,0
-94.90828,29.36763,6,REF480008,TEXAS CITY,1301 LOOP 197 SOUTH,TEXAS CITY,TX,77590,NOT AVAILABLE,(409) 948-7296,LARGE COMPLEX REFINERY,IN SERVICE,509,GALVESTON,48167,USA,29.36763,-94.90828,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,https://www.valero.com/en-us,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,51895,1E+11,WITHIN 166 FEET,225000,32,225000,133500,50825,0,81700,17195,0,286000,14700,0,0,6500,0,0,0,19000,680,0
-94.90798,29.37542,7,REF480009,TEXAS CITY,502 10TH STREET SOUTH,TEXAS CITY,TX,77590,NOT AVAILABLE,(409) 943-7270,SMALL MEDIUM COMPLEXITY REFINERY THAT PROCESSES SWEET CRUDE,IN SERVICE,276,GALVESTON,48167,USA,29.37542,-94.90798,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,52497,1E+11,WITHIN 166 FEET,86000,73,86000,0,0,0,55600,10500,0,0,14500,0,2900,0,0,0,0,0,40,0
-95.01026,29.74285,8,REF480010,BAYTOWN,2800 DECKER DR/4500 BAYWAY DRIVE,BAYTOWN,TX,77520,2127,(281) 834-7342,VERY LARGE AND HIGHLY COMPLEX REFINERY,IN SERVICE,1307,HARRIS,48201,USA,29.74285,-95.01026,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,http://www.exxonmobilchemical.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,52558,1E+11,WITHIN 166 FEET,560500,2,560500,297000,91300,0,212500,120000,26500,794000,41000,0,0,0,28000,0,0,22750,1828,0
-98.18771,28.45728,11,REF480013,THREE RIVERS,301 LEROY STREET,THREE RIVERS,TX,78071,490,(361) 786-8242,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,302,LIVE OAK,48297,USA,28.45728,-98.18771,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,https://www.valero.com/en-us,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,53371,1E+11,WITHIN 166 FEET,89000,71,89000,33500,0,0,23030,32757,27440,79000,6500,0,10800,6000,1900,0,0,0,134,0
-95.2536,29.72181,12,REF480014,HOUSTON,9701 MANCHESTER,HOUSTON,TX,77012,NOT AVAILABLE,(713) 923-3378,LARGE COMPLEX REFINERY,IN SERVICE,340,HARRIS,48201,USA,29.72181,-95.2536,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,https://www.valero.com/en-us,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,54001,1E+11,WITHIN 166 FEET,191000,36,191000,38000,0,0,68300,0,64400,57600,11900,0,0,0,0,0,0,0,336,0
-95.2797,32.36172,14,REF480016,TYLER,1702 E COMMERCE STREET,TYLER,TX,75702,NOT AVAILABLE,(903) 579-3404,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,254,SMITH,48423,USA,32.36172,-95.2797,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,http://www.delekus.com,DELEK GROUP LTD,DELEK REFINING LTD,54266,1E+11,WITHIN 166 FEET,72000,86,72000,28000,6000,0,19000,17000,0,77000,4700,0,0,0,0,0,0,1500,39,0
-101.88038,35.95528,16,REF480018,SUNRAY,6701 FM 119,SUNRAY,TX,79029,NOT AVAILABLE,(806) 935-1354,MEDIUM COMPLEX REFINERY,IN SERVICE,435,MOORE,48341,USA,35.95528,-101.88038,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,https://www.valero.com/en-us,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,55630,1E+11,WITHIN 166 FEET,195000,35,195000,50000,0,0,52500,45500,25500,130100,9800,0,0,6000,0,0,30,0,75,12000
-95.20804,29.7231,17,REF480019,PASADENA,111 RED BLUFF ROAD,PASADENA,TX,77506,1530,(713) 920-4152,MEDIUM SIZED COMPLEX REFINERY WITH A HIGH GASOLINE YIELD,IN SERVICE,345,HARRIS,48201,USA,29.7231,-95.20804,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,http://www.petrobras.com,PETROBRAS AMERICA INC,PASADENA REFINING SYSTEMS INC,55654,1E+11,WITHIN 166 FEET,112229,61,112229,38000,0,0,50440,21340,0,78000,12500,0,0,0,0,0,0,0,28,0
-95.23472,29.71373,39,REF480042,HOUSTON,12000 LAWNDALE AVE,HOUSTON,TX,77017,NOT AVAILABLE,(713) 321-4111,VERY LARGE COMPLEX REFINERY,IN SERVICE,983,HARRIS,48201,USA,29.71373,-95.23472,324110,PETROLEUM REFINERIES,EIA-820; EPA TRI,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2018-01-31T00:00:00.000Z,http://www.lyondellbasell.com,ACCESS INDUSTRIES,HOUSTON REFINING LP,1000006277,1E+11,WITHIN 166 FEET,263776,20,263776,196500,93795,0,84679,0,0,393475,11250,0,19500,0,3895,0,0,29850,1123,0
